"","taxa_id","Kingdom","Phylum","Class","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","X...","litter_size","litters_year","interbirth_interval","metabolic_rate","female_maturity","male_maturity","Gestation","Weaning","Infancy","birth_weight","weaning_weight","adult_weight","growth_rate","max_longevity","Male","MaleNeoplasia","MaleMalignant","Female","FemaleNeoplasia","FemaleMalignant"
"1753",2926,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Nanger","Nanger dama","Addras Gazelle",50,8,0.16,"-",7,2,0.04,0.428571429,4,0.08,0.571428571,"-",51,9,50,10,"-",-1,1.56,5.98,-1,3.59500328731098,3.59500328731098,6.83760683760684,-1,10.936,-1,-1,73000,-1,231.6,7,1,0,39,6,1
"1754",2927,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Gazella","Nanger granti",NA,13,0,0,"-",0,0,0,NA,0,0,NA,"-",13,0,13,3,"-",-1,-1,-1,-1,8.25115055884287,8.2120315581854,6.4431295200526,-1,25.0405,5602.5,-1,67000,-1,236.4,4,0,0,8,0,0
"1822",3027,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus virginianus",NA,12,1,0.083333333,"-",1,1,0.083333333,1,0,0,0,"-",12,1,12,8,"-",1.57,1.2,9.99,-1,10.1577909270217,13.7080867850099,6.50887573964497,4.24063116370809,4.24063116370809,3000,36000,87000,0.007,276,3,1,1,7,0,0
"1824",3033,"Animalia","Chordata","Mammalia","Artiodactyla","Giraffidae","Okapia","Okapia johnstoni",NA,18,2,0.111111111,"-",0,0,0,NA,0,0,NA,"-",18,2,18,9,"-",0.98,0.8,-1,-1,19.0006574621959,25.9697567389875,15.0558842866535,6.37738330046022,6.37738330046022,16000,77000,225000,-1,402,7,0,0,11,2,0
"1853",3077,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Oryx","Oryx dammah",NA,18,2,0.111111111,"-",19,1,0.055555556,0.157894737,1,0.055555556,0.842105263,"-",35,19,18,7,"-",-1,1.89,0.607200548,-1,21.0059171597633,18.0802103879027,8.11965811965812,1.9723865877712,1.9723865877712,10317,-1,177500,-1,330,5,0,0,10,1,1
"1854",3078,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Oryx","Oryx leucoryx","Arabian Oryx",27,2,0.074074074,"-",7,1,0.037037037,0.142857143,1,0.037037037,0.857142857,"-",32,7,27,8,"-",-1,1.33,0.607200548,-1,26.1012491781722,18.0802103879027,7.98816568047337,4.50361604207758,4.50361604207758,3850,-1,121350,-1,249.6,5,0,0,12,1,1
"1868",3100,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis aries","Sheep",87,24,0.275862069,"-",24,16,0.183908046,0.666666667,8,0.091954023,0.333333333,"-",87,24,87,24,"-",1.58,1.1,12,-1,18.0144641683103,30.0460223537147,4.79947403024326,5.98290598290598,5.98290598290598,2370,17500,80000,-1,273.6,24,7,5,42,13,8
"1869",3101,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis canadensis","Big Horn Sheep",30,2,0.066666667,"-",1,0,0,0,1,0.033333333,1,"-",30,2,30,7,"-",1.16,1.1,12,22100,23.241288625904,24.6219592373439,5.91715976331361,4.99671268902038,4.99671268902038,4400,28000,70275,0.0031,247.2,9,0,0,17,1,0
"2247",3640,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Rangifer","Rangifer tarandus","Caribou",34,4,0.117647059,"-",6,2,0.058823529,0.333333333,2,0.058823529,0.666666667,"-",36,6,34,9,"-",1.1,1.1,12,-1,21.7619986850756,22.353714661407,7.49506903353057,3.94477317554241,3.94477317554241,6500,20000,101250,0.0047,261.6,5,1,0,5,0,0
"2541",4101,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Taurotragus","Taurotragus derbianus",NA,21,1,0.047619048,"-",1,1,0.047619048,1,0,0,0,"-",21,1,21,2,"-",-1,1.14,0.926762491,-1,36.3905325443787,24.8241288625904,8.67850098619329,5.98290598290598,5.98290598290598,30889.05,96495.55,680000,-1,243.6,9,0,0,10,1,1
"2633",4233,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Tragelaphus","Tragelaphus eurycerus","Eastern Bongo",18,3,0.166666667,"-",8,0,0,0,3,0.166666667,1,"-",23,8,18,11,"-",-1,0.7,-1,-1,26.4957264957265,30.0460223537147,9.46745562130177,-1,86,19800,-1,307500,-1,262.8,8,0,0,8,3,0
"2634",4234,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Tragelaphus","Tragelaphus imberbis",NA,16,0,0,"-",0,0,0,NA,0,0,NA,"-",16,0,16,5,"-",-1,1.3,8.51,-1,16.5680473372781,16.5680473372781,7.72518080210388,9.00723208415516,9.00723208415516,6000,-1,82500,0.0095,237.6,6,0,0,6,0,0
"2637",4238,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Tragelaphus","Tragelaphus strepsiceros","Kudu",48,3,0.0625,"-",2,0,0,0,2,0.041666667,1,"-",48,3,48,11,"-",-1,1.1,12,-1,16.9953977646285,21.8731097961867,7.49506903353057,6.01577909270217,6.01577909270217,15000,-1,217500,-1,282,16,0,0,19,3,0
