taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,Male,MaleNeoplasia,MaleMalignant,Female,FemaleNeoplasia,FemaleMalignant,---,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources
4432,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,NA,10,0,0,-,0,0,0,NA,0,0,NA,-,1,0,0,1,0,0,-,10,0,10,7
647,Animalia,Chordata,Reptilia,Squamata,Corytophanidae,Basiliscus,Basiliscus plumifrons,Plumed Basilik,22,0,0,-,0,0,0,NA,0,0,NA,-,6,0,0,8,0,0,-,22,0,22,11
18078,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,Icterus oberi,Monserrat oriole,10,0,0,-,0,0,0,NA,0,0,NA,-,4,0,0,0,0,0,-,10,0,10,1
1597,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Cyclura,Cyclura cornuta,Rhinoceros Iguana,10,0,0,-,0,0,0,NA,0,0,NA,-,1,0,0,0,0,0,-,10,0,10,1
4302,Animalia,Chordata,Reptilia,Squamata,Viperidae,Trimeresurus,Trimeresurus trigonocephalus,NA,17,2,0.117647059,-,2,2,0.117647059,1,0,0,0,-,5,0,0,9,2,2,-,17,2,17,6
3694,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Rousettus,Rousettus aegyptiacus,Egyptian fruit bat,57,7,0.122807018,-,7,6,0.105263158,0.857142857,1,0.01754386,0.142857143,-,22,3,3,21,3,2,-,57,7,57,17
2603,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,Litoria caerulea,NA,14,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,1,0,0,-,14,0,14,6
2706,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrotus,Macrotus californicus,NA,23,0,0,-,0,0,0,NA,0,0,NA,-,7,0,0,9,0,0,-,23,0,23,3
3593,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Puma concolor,NA,23,7,0.304347826,-,7,6,0.260869565,0.857142857,1,0.043478261,0.142857143,-,7,2,2,8,5,4,-,23,7,23,12
3557,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Sargocentron,Pterois miles,NA,13,3,0.230769231,-,3,2,0.153846154,0.666666667,1,0.076923077,0.333333333,-,8,3,2,5,0,0,-,13,3,13,7
3229,Animalia,Chordata,Mammalia,Rodentia,Muridae,Peromyscus,Peromyscus leucopus,NA,16,3,0.1875,-,8,3,0.1875,0.625,0,0,0.375,-,4,1,1,5,0,0,-,21,8,16,5
18222,Animalia,Chordata,Mammalia,Rodentia,Muridae,Lemniscomys,Lemniscomys barbarus,Striped Grass Mouse,78,0,0,-,0,0,0,NA,0,0,NA,-,33,0,0,0,0,0,-,78,0,78,1
3485,Animalia,Echinodermata,Asteroidea,Valvatida,Oreasteridae,Protoreaster,Protoreaster nodosus,NA,12,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,1,0,0,-,12,0,12,5
412,Animalia,Chordata,Aves,Gruiformes,Rallidae,Anurolimnas,Anurolimnas fasciatus,NA,23,0,0,-,0,0,0,NA,0,0,NA,-,9,0,0,3,0,0,-,23,0,23,7
8028,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Chalcomitra,Chalcomitra senegalensis,Scarlet breasted sunbird,34,0,0,-,0,0,0,NA,0,0,NA,-,4,0,0,0,0,0,-,34,0,34,1
2445,Animalia,Chordata,Reptilia,Squamata,Viperidae,Lachesis,Lachesis melanocephala,NA,19,1,0.052631579,-,1,1,0.052631579,1,0,0,0,-,9,1,1,3,0,0,-,19,1,19,3
4238,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,Kudu,48,3,0.0625,-,2,0,0,0,2,0.041666667,1,-,16,0,0,19,3,0,-,48,3,48,11
2404,Animalia,Chordata,Aves,Passeriformes,Irenidae,Irena,Irena cyanogaster,NA,37,1,0.027027027,-,1,1,0.027027027,1,0,0,0,-,16,1,1,11,0,0,-,37,1,37,17
2559,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Leptoptilos,Leptoptilos crumenifer,NA,15,1,0.066666667,-,1,1,0.066666667,1,0,0,0,-,4,0,0,3,0,0,-,15,1,15,8
3278,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus chilensis,Chilean flamingo,82,5,0.06097561,-,4,3,0.036585366,0.75,1,0.012195122,0.25,-,40,3,2,25,1,0,-,82,5,82,18
